optimizer,lr,kwargs,total_epochs,batch_size,hidden_size,epoch,train_loss,train_acc,test_loss,test_acc
AdamW,0.001,{'weight_decay': 0.01},30,100,100,1,0.6609031330049038,0.85,0.30034713983535766,0.919
AdamW,0.001,{'weight_decay': 0.01},30,100,100,2,0.2673185526082913,0.9246833333333333,0.23167253475636243,0.9311
AdamW,0.001,{'weight_decay': 0.01},30,100,100,3,0.21230685005585354,0.9392666666666667,0.1915135106444359,0.9447
AdamW,0.001,{'weight_decay': 0.01},30,100,100,4,0.178444039405634,0.9492,0.1670244793407619,0.9524
AdamW,0.001,{'weight_decay': 0.01},30,100,100,5,0.15446302296593786,0.9561,0.14880908758379519,0.9567
AdamW,0.001,{'weight_decay': 0.01},30,100,100,6,0.13555267977217833,0.9612333333333334,0.13465832169167696,0.9608
AdamW,0.001,{'weight_decay': 0.01},30,100,100,7,0.11999857815292975,0.9656666666666667,0.12667675785021856,0.9626
AdamW,0.001,{'weight_decay': 0.01},30,100,100,8,0.10713294785469771,0.9701166666666666,0.11571533267386258,0.9658
AdamW,0.001,{'weight_decay': 0.01},30,100,100,9,0.09604247250283758,0.97325,0.11105717995902524,0.9663
AdamW,0.001,{'weight_decay': 0.01},30,100,100,10,0.08676328244619072,0.97645,0.1030406116344966,0.9677
AdamW,0.001,{'weight_decay': 0.01},30,100,100,11,0.07828876220310728,0.97895,0.09857200578320771,0.9713
AdamW,0.001,{'weight_decay': 0.01},30,100,100,12,0.07142704534033935,0.98105,0.09186798277543858,0.9709
AdamW,0.001,{'weight_decay': 0.01},30,100,100,13,0.0647858624951914,0.9832666666666666,0.08927367052645423,0.9726
AdamW,0.001,{'weight_decay': 0.01},30,100,100,14,0.05947627172184487,0.9846166666666667,0.08707328152260743,0.9731
AdamW,0.001,{'weight_decay': 0.01},30,100,100,15,0.05472495804075152,0.9857833333333333,0.08409734651097096,0.9746
AdamW,0.001,{'weight_decay': 0.01},30,100,100,16,0.04985082875316342,0.9874333333333334,0.08097463994286955,0.974
AdamW,0.001,{'weight_decay': 0.01},30,100,100,17,0.045977357753242055,0.9883666666666666,0.07970090552524198,0.9749
AdamW,0.001,{'weight_decay': 0.01},30,100,100,18,0.04242090542567894,0.98975,0.08144385754188989,0.9744
AdamW,0.001,{'weight_decay': 0.01},30,100,100,19,0.03876088686442623,0.9906833333333334,0.07913598748971708,0.9758
AdamW,0.001,{'weight_decay': 0.01},30,100,100,20,0.035774496369995176,0.99175,0.0774481673660921,0.9759
AdamW,0.001,{'weight_decay': 0.01},30,100,100,21,0.03297761202246571,0.9926166666666667,0.07630072200088761,0.9768
AdamW,0.001,{'weight_decay': 0.01},30,100,100,22,0.03030775660726552,0.9935,0.07646590591873974,0.9764
AdamW,0.001,{'weight_decay': 0.01},30,100,100,23,0.02796010585851036,0.99405,0.07579920205869711,0.9775
AdamW,0.001,{'weight_decay': 0.01},30,100,100,24,0.025551069510790208,0.9950833333333333,0.07632265115971677,0.9765
AdamW,0.001,{'weight_decay': 0.01},30,100,100,25,0.023929530824534594,0.9955666666666667,0.07654078390216455,0.9767
AdamW,0.001,{'weight_decay': 0.01},30,100,100,26,0.021877947456669062,0.99605,0.07398900771688205,0.9777
AdamW,0.001,{'weight_decay': 0.01},30,100,100,27,0.020173254314577206,0.99675,0.07493965040019247,0.978
AdamW,0.001,{'weight_decay': 0.01},30,100,100,28,0.018502263287082314,0.9970833333333333,0.07502635962096975,0.9768
AdamW,0.001,{'weight_decay': 0.01},30,100,100,29,0.017009397817698,0.9975,0.0754192306814366,0.9777
AdamW,0.001,{'weight_decay': 0.01},30,100,100,30,0.015614710728016993,0.9981833333333333,0.0739795485927607,0.9777
