num_hidden_layers,hidden_size,layer,neuron_index,value
2,10,0,0,0.12709704
2,10,0,0,0.10397528
2,10,0,0,0.16176532
2,10,0,0,0.15806256
2,10,0,0,0.14315118
2,10,0,0,0.11537977
2,10,0,0,0.12762101
2,10,0,0,0.09307411
2,10,0,0,0.13055117
2,10,0,0,0.11553045
2,10,0,0,0.13962546
2,10,0,0,0.13513452
2,10,0,0,0.16738936
2,10,0,0,0.1549315
2,10,0,0,0.14430183
2,10,0,0,0.12520412
2,10,0,0,0.10997361
2,10,0,0,0.10127261
2,10,0,0,0.15559715
2,10,0,0,0.14528972
2,10,0,0,0.111338906
2,10,0,0,0.0914801
2,10,0,0,0.13552707
2,10,0,0,0.09496905
2,10,0,0,0.13363047
2,10,0,0,0.12228077
2,10,0,0,0.0882882
2,10,0,0,0.16621281
2,10,0,0,0.1535396
2,10,0,0,0.1375405
2,10,0,0,0.14334865
2,10,0,0,0.09005126
2,10,0,0,0.15433203
2,10,0,0,0.14634691
2,10,0,0,0.15647705
2,10,0,0,0.16659074
2,10,0,0,0.1515928
2,10,0,0,0.09023842
2,10,0,0,0.10781064
2,10,0,0,0.106176
2,10,0,0,0.12454318
2,10,0,0,0.14857227
2,10,0,0,0.11958697
2,10,0,0,0.16646889
2,10,0,0,0.15749411
2,10,0,0,0.14869328
2,10,0,0,0.09995846
2,10,0,0,0.10185505
2,10,0,0,0.14563116
2,10,0,0,0.1283126
2,10,0,0,0.09959191
2,10,0,0,0.08451951
2,10,0,0,0.10990785
2,10,0,0,0.121036164
2,10,0,0,0.09827731
2,10,0,0,0.15180798
2,10,0,0,0.11885755
2,10,0,0,0.15973598
2,10,0,0,0.15624094
2,10,0,0,0.14873806
2,10,0,0,0.10754476
2,10,0,0,0.109683484
2,10,0,0,0.1519589
2,10,0,0,0.11393661
2,10,0,0,0.10344271
2,10,0,0,0.13214411
2,10,0,0,0.12515573
2,10,0,0,0.11692932
2,10,0,0,0.1004074
2,10,0,0,0.08596221
2,10,0,0,0.15953696
2,10,0,0,0.14235692
2,10,0,0,0.11007246
2,10,0,0,0.091558255
2,10,0,0,0.08978743
2,10,0,0,0.08927098
2,10,0,0,0.11831894
2,10,0,0,0.16374357
2,10,0,0,0.12286831
2,10,0,0,0.15337242
2,10,0,0,0.1663949
2,10,0,0,0.08901016
2,10,0,0,0.0944569
2,10,0,0,0.16918236
2,10,0,0,0.11882235
2,10,0,0,0.13393979
2,10,0,0,0.13377406
2,10,0,0,0.14623742
2,10,0,0,0.11043181
2,10,0,0,0.15195681
2,10,0,0,0.111195475
2,10,0,0,0.10528181
2,10,0,0,0.09634804
2,10,0,0,0.110884316
2,10,0,0,0.1688511
2,10,0,0,0.15435402
2,10,0,0,0.10555357
2,10,0,0,0.11788166
2,10,0,0,0.15993911
2,10,0,0,0.1512561
2,10,0,0,0.08678879
2,10,0,0,0.09813569
2,10,0,0,0.14531362
2,10,0,0,0.13747756
2,10,0,0,0.16727245
2,10,0,0,0.12754284
2,10,0,0,0.1587903
2,10,0,0,0.15956812
2,10,0,0,0.12912099
2,10,0,0,0.120396316
2,10,0,0,0.14418736
2,10,0,0,0.101555094
2,10,0,0,0.15264696
2,10,0,0,0.08820769
2,10,0,0,0.0976476
2,10,0,0,0.16262561
2,10,0,0,0.13735852
2,10,0,0,0.12486068
2,10,0,0,0.120576724
2,10,0,0,0.11669682
2,10,0,0,0.11009718
2,10,0,0,0.12423251
2,10,0,0,0.14751998
2,10,0,0,0.10666415
2,10,0,0,0.16755517
2,10,0,0,0.15197395
2,10,0,0,0.13741997
2,10,0,0,0.14748532
2,10,0,0,0.14164972
2,10,0,0,0.1616198
2,10,0,0,0.13582101
2,10,0,0,0.117692284
2,10,0,0,0.15447173
2,10,0,0,0.1289603
2,10,0,0,0.09634892
2,10,0,0,0.13114868
2,10,0,0,0.12559737
2,10,0,0,0.13044596
2,10,0,0,0.11817582
2,10,0,0,0.099750094
2,10,0,0,0.08651261
2,10,0,0,0.099783406
2,10,0,0,0.086420484
2,10,0,0,0.12985308
2,10,0,0,0.16496523
2,10,0,0,0.14693117
2,10,0,0,0.09783441
2,10,0,0,0.12705435
2,10,0,0,0.14790756
2,10,0,0,0.15935367
2,10,0,0,0.1665606
2,10,0,0,0.16265644
2,10,0,0,0.1354011
2,10,0,0,0.10346678
2,10,0,0,0.103796855
2,10,0,0,0.1677755
2,10,0,0,0.10026264
2,10,0,0,0.16004221
2,10,0,0,0.13576555
2,10,0,0,0.14401488
2,10,0,0,0.1349666
2,10,0,0,0.13512504
2,10,0,0,0.16492392
2,10,0,0,0.16348237
2,10,0,0,0.13343051
2,10,0,0,0.12622905
2,10,0,0,0.1460894
